entrezgene	ensembl	symbol	abagen symbol	pass_all	num_pass	correlation	seed	score
114990	ENSG00000274334	VASN	VASN	1.0	12.0	0.7714711539243093	52.0	0.40250668900398745
7408	ENSG00000125753	VASP	VASP	1.0	1.0	0.3818410768397553	31.0	0.016601785949554578
10493	ENSG00000108828	VAT1	VAT1	1.0	2.0	0.37361641120574746	58.0	0.032488383583108474
57687	ENSG00000171724	VAT1L	VAT1L	1.0	1.0	0.38995189086674564	33.0	0.01695443003768459
7409	ENSG00000141968	VAV1	VAV1	1.0	13.0	0.5985957221943187	32.0	0.3383367125446149
10451	ENSG00000134215	VAV3	VAV3	0.0	0.0	0.3746329578836137	49.0	0.0
1462	ENSG00000038427	VCAN	VCAN	1.0	5.0	0.5112258123053134	41.0	0.11113604615332899
7414	ENSG00000035403	VCL	VCL	1.0	1.0	0.36754568770166607	33.0	0.015980247291376787
7415	ENSG00000165280	VCP	VCP	1.0	4.0	0.5776085145751414	53.0	0.10045365470872024
26609	ENSG00000182583	VCX	VCX	0.0	0.0	0.5374636286229995	32.0	0.0
51480	ENSG00000177504	VCX2	VCX2	0.0	0.0	0.601727420558745	32.0	0.0
7419	ENSG00000078668	VDAC3	VDAC3	1.0	2.0	0.5005526027973775	33.0	0.04352631328672847
7422	ENSG00000112715	VEGFA	VEGFA	0.0	0.0	0.20556416390255847	32.0	0.0
7424	ENSG00000150630	VEGFC	VEGFC	0.0	0.0	0.32498072353575685	49.0	0.0
7716	ENSG00000136451	VEZF1	VEZF1	0.0	0.0	0.3358612918119787	32.0	0.0
55591	ENSG00000028203	VEZT	VEZT	1.0	9.0	0.6741977029677398	58.0	0.2638164924656373
7425	ENSG00000128564	VGF	VGF	1.0	2.0	0.5461832298107407	32.0	0.04749419389658615
9686	ENSG00000144560	VGLL4	VGLL4	1.0	4.0	0.5780002115604781	2.0	0.1005217759235614
50853	ENSG00000136059	VILL	VILL	0.0	0.0	0.21525646842414844	32.0	0.0
7431	ENSG00000026025	VIM	VIM	1.0	4.0	0.543612644120706	53.0	0.09454132941229669
7432	ENSG00000146469	VIP	VIP	1.0	7.0	0.6831451137945871	8.0	0.20791373028530913
7433	ENSG00000114812	VIPR1	VIPR1	1.0	2.0	0.6368069443207315	51.0	0.05537451689745491
7434	ENSG00000106018	VIPR2	VIPR2	0.0	0.0	0.5076984479023583	33.0	0.0
5212	ENSG00000205221	VIT	VIT	1.0	2.0	0.49795408376730604	33.0	0.04330035511020052
154807	ENSG00000196715	VKORC1L1	VKORC1L1	1.0	7.0	0.6148362717757948	31.0	0.18712408271437234
7436	ENSG00000147852	VLDLR	VLDLR	1.0	5.0	0.5402514426336718	53.0	0.11744596578992864
203547	ENSG00000160131	VMA21	VMA21	1.0	6.0	0.5100187028412452	40.0	0.13304835726293351
81671	ENSG00000062716	VMP1	VMP1	0.0	0.0	0.2707874984525603	31.0	0.0
