"roi","diagnosis_beta","Advan_inno","BrainGluSchi","Baltimore","Dallas","dallas","boston","hartford","georgia","chicago","COBRE","A","C","MultidimCog","speech","SWA","HUH","HKH","COI","KUT","KTT","UTO","Study_neura","Transdiagnostic2","Transdiagnostic1"
"14",-0.692206464185667,-0.159155883220369,-0.0963981513710344,-0.026203651104287,-0.108261314369306,-0.0884072026945788,-0.0800795770052084,-0.0920027764297472,-0.0634839647462429,-0.0883394173044204,-0.0425973043180713,-0.137516301362561,-0.0545997391833994,0.0106575781480866,-0.11342639613699,-0.17177847981114,-0.128478810786087,-0.0944193398916951,-0.131370599127108,-0.157093451376965,-0.0423564701166536,-0.174794026916275,-0.0666624389427172,-0.134501241335672,-0.204578314011732
"15",-1.03805497692368,-1.0197964369431,-0.965189265753384,-0.936780900390861,-0.956751777789481,-0.959979242823559,-0.97385715603881,-0.98456684114353,-0.923505546868038,-0.986741223574066,-0.977551200057754,-1.00865864361568,-0.986314755122479,-0.775826592274718,-0.999414388571806,-0.972388968453248,-0.997641395644569,-0.971944035708048,-0.99576405806754,-1.01703768555105,-0.922603113692384,-1.02796552177715,-1.01276931730923,-0.98492596409972,-0.993604033423106
"16",0.60476682748167,0.473191338641338,0.497957422672176,0.429668817190036,0.435920160744699,0.447957421070297,0.341710886759621,0.451727367813823,0.368817710442087,0.474068370636941,0.444949517912568,0.434475524465903,0.451294246544691,0.435578776363476,0.481799004941872,0.393076468047183,0.453968724924968,0.405882681599176,0.459910564721804,0.648137305017186,0.389615781422913,0.421800875651344,0.492052612760339,0.402155325754806,0.464410661288209
"17",0.421983049595855,0.991361100340524,0.817856821031873,0.875981785482876,0.85652385820788,0.883235424903117,0.783454001241106,0.860778361862281,0.909296409806813,0.846506570758152,0.904881423316222,0.816368948551634,0.887454818997626,0.93402322460623,0.845173501398131,0.730485944021751,0.858527089502653,0.839617323976647,0.790292055101238,0.616224274937195,0.929364047924562,0.802858406046815,0.78232160263503,0.758749472624461,0.723677552074666
"18",-0.297092332797646,0.269454834733843,0.277425032891854,0.236071691335351,0.267551155270398,0.203565749926755,0.261476371867887,0.272215519879782,0.325414227428968,0.25637380076543,0.315782123744626,0.248611660678965,0.233212957690842,0.298822656232762,0.217731241766852,0.165351995320166,0.135744382650932,0.238109444619193,0.172850993716498,0.193953315242285,0.310566746841407,0.260712007746486,0.209317007645002,0.124450051812697,0.184351042228831
"19",-0.0324660763346139,-0.0910606045877469,-0.147306666784663,-0.143372231474533,-0.119558133799718,-0.104937019064023,-0.180934109159879,-0.118638329837388,-0.012508766345298,-0.156312650543557,-0.0514520740808518,-0.157757944580044,-0.0657907901601475,-0.0328891945390137,-0.0984449803962629,-0.214303025519544,-0.179836317385982,-0.146358120056758,-0.148110743979769,-0.160183666363816,-0.0520024844668049,-0.0537035953006829,-0.185190930394311,-0.13963895093147,-0.179768481659478
"20",-1.17720964981297,-1.50652449976166,-1.33896472893929,-1.39396577128781,-1.33814072814113,-1.39454866232531,-1.3047874551512,-1.3137258573909,-1.28863458155662,-1.43428551600676,-1.34476830285354,-1.29610739673896,-1.4180211182074,-0.984266780872359,-1.30458922572501,-1.4541760666019,-1.3384691213951,-1.37129286007149,-1.43611799050087,-1.23454190499291,-1.2083086577791,-1.27681227843846,-1.38913250092087,-1.21256149219826,-1.41244636046943
"21",-0.889794505239355,-0.791764315096919,-0.663806078889665,-0.691881220668045,-0.601866424070398,-0.679755950330352,-0.636168632045028,-0.630712540497297,-0.612358003768049,-0.755671815684884,-0.621377840441881,-0.61022451136569,-0.656433765235089,-0.390991715451412,-0.632294566785125,-0.763139741376917,-0.653966950268056,-0.712545997255842,-0.737875709356072,-0.575769352433264,-0.492702038477159,-0.642037083483779,-0.698780142360404,-0.669258180654515,-0.818314372079118
"22",0.360596532924026,0.0285697006679696,0.0157029191854905,-0.0574503561374129,0.0012877505678346,-0.0332723995927675,-0.0508973743048047,-0.0366223362745959,-0.0393447499721952,0.0289112530525029,0.0105321106753411,-0.0152728493411918,0.0422017278404236,0.0101604110126967,-0.0537747183514125,0.198809470569762,-0.0139376003402102,-0.0213382409168549,0.0380527687159229,-0.107693809211598,-0.00726900501638603,-0.0636269917785595,0.00638320959518468,-0.0869154886320151,-0.0790550172203139
"23",-0.141458223488019,-0.377581383906078,-0.247056999170533,-0.309072168493672,-0.238675707943925,-0.338137436689799,-0.292452937789256,-0.286275818127405,-0.266528506205553,-0.313251675162391,-0.280242255317929,-0.318488733244663,-0.223409452336552,-0.159422955458502,-0.314871845170005,-0.156874737443416,-0.332143029912396,-0.313502310143918,-0.308503436760018,-0.404974932405035,-0.275159633585995,-0.289639362624355,-0.321969101782346,-0.293283174479069,-0.348843188730732
"24",0.308523581003108,0.704654966238614,0.596664144673908,0.599225393291084,0.645623384294444,0.578371759361746,0.594155134393654,0.658842321786955,0.629513063089697,0.583622844979778,0.625426984008528,0.68019822346049,0.705632316805326,0.73050501597401,0.61611551096078,0.56039600617063,0.703091943710542,0.628908202271704,0.545374641555356,0.505752095134944,0.657617871395585,0.593244093619967,0.604012460674306,0.594614055429999,0.498982836061778
"25",0.601185325066761,0.823110929041911,0.676550021788082,0.755352700609232,0.725911629884937,0.721436518425885,0.751843739871934,0.696085616795046,0.681422885854585,0.725628521478289,0.680375246689715,0.717735211992474,0.746683566973383,0.480989694311556,0.749546706504524,0.736033932394873,0.862219635612353,0.720765568654739,0.670455956894042,0.71563318787094,0.741127397894413,0.72473555895228,0.690442633179306,0.682650339528823,0.731071907568753
"26",1.14574832279653,0.658558439392891,0.619922651710241,0.553217381538867,0.662816351649794,0.617259103793176,0.623061801732071,0.643308278730745,0.605767993338256,0.648058318884871,0.702361223913218,0.606697311530023,0.67865629933993,0.543451577646584,0.589425133822217,0.715670474116426,0.752115212318046,0.657222999602976,0.638978947248315,0.537606971492989,0.551220029040368,0.8451237979697,0.556304652099841,0.604252669879011,0.704745566038061
"27",0.49775933310799,-0.155268482369683,-0.230819562875045,-0.317300256316475,-0.156086458457054,-0.292677798541412,-0.279083885179609,-0.242590595584017,-0.267283046614689,-0.24812111730141,-0.287098525391347,-0.308246325864498,-0.247578078160457,-0.241907597573533,-0.307895897218721,-0.0927795684963822,-0.28477557587491,-0.267071785544073,-0.23216350715273,-0.448912096319815,-0.323685930588273,-0.170421654892031,-0.224886426366532,-0.201597136979209,-0.217154522217322
"28",0.478543876604011,-0.111371777624942,-0.187453480080685,-0.261169879813849,-0.15952479405096,-0.165981838596229,-0.227715231785688,-0.20521287605859,-0.0932239246574166,-0.232297459930367,-0.22834718535277,-0.189250120280126,-0.210209163794367,-0.134379332963794,-0.243637512543797,-0.075794786483291,-0.18814467378063,-0.175162316743775,-0.206143719106461,-0.31219089314931,-0.283971605272234,0.0534139578294044,-0.193114918232362,-0.162561796809036,-0.15672289956615
"29",-0.378246759376031,-0.19178935810401,-0.20728317539129,-0.217044080548298,-0.134909805740456,-0.178153872138238,-0.181613771570006,-0.188899652647178,-0.113174293729696,-0.196995948832504,-0.169925686502108,-0.203151765948867,-0.215342673066983,-0.0796716217058086,-0.231913961944388,-0.23094468133188,-0.324282165711771,-0.214802468794647,-0.212947862086958,-0.339791750438662,-0.152916327732545,-0.130552642957432,-0.182225798226465,-0.102152079549927,-0.300797172938389
"30",-0.0608226941674636,-0.628352932613218,-0.526473005990069,-0.597809216838462,-0.543289636453551,-0.602724770336863,-0.58239090355864,-0.54579170870336,-0.614315583127769,-0.550861516133851,-0.540412762770421,-0.587886590346026,-0.534074228600996,-0.436712007915249,-0.577051843659658,-0.392340858079206,-0.596554751649601,-0.531396122335726,-0.526054634256213,-0.503128860211486,-0.60076754064607,-0.554961145174699,-0.496999997568262,-0.551904133244336,-0.593446278523269
"31",0.564951327599299,-0.00570457127456324,-0.0148022189765841,-0.0670752837765024,-0.053898585288445,-0.0578323308178427,0.006097424189742,0.0185960595748358,-0.00450568248525784,-0.0645851702787312,-0.01720887472734,-0.0384043344194444,-0.0347678286436524,0.0524947558967565,-0.0706571125030309,0.0738630918515473,0.10953291949164,-0.0136808733461399,-0.00234818509789168,-0.042254764801873,-0.0918614381794684,0.00952662436462537,-0.0848253695904824,0.0298664017192036,0.0509341463218101
"32",0.741766479163546,1.05960400156671,1.17001509813154,1.15374911889149,1.10415210441474,1.20121582177707,1.16643613409458,1.13086198232738,1.11200854529922,1.14920868593795,1.10707590581493,1.19298454371517,1.1588478607305,1.28154171929081,1.10477441724658,0.985753036181486,1.38442194597177,1.10125250320828,1.14364748970187,1.43263828355566,1.26805852187603,0.970271363897435,1.23256371691872,1.10126340847205,1.0651484737106
"33",0.945647815895314,1.56123202369904,1.55208215433079,1.54371794295222,1.55489537118192,1.53160343853045,1.49203651963308,1.61870682071361,1.57056968455064,1.55930847747158,1.58524169185502,1.57787816358034,1.55145980592154,1.67140794592674,1.50543726435763,1.50215513146688,1.53840524051106,1.53934999099507,1.57185677105018,1.36990471821594,1.67804517962878,1.4594614740005,1.53596331411014,1.4766862890705,1.44399791700961
"34",-0.254301752683956,-0.211678521189646,-0.187600611314004,-0.225073955289893,-0.137016660045912,-0.243159848182813,-0.189536753979738,-0.169144998789358,-0.185625083275795,-0.222613944211056,-0.177660599717569,-0.270696512508014,-0.186098924379818,-0.147027627331414,-0.202703018906166,-0.252081413319759,-0.251304012165464,-0.195418466363804,-0.22162919008551,-0.256052442084682,-0.114884970424567,-0.0952970334809597,-0.208357489684858,-0.19721870926342,-0.282990827233575
"35",0.636871523997582,0.0874915819341062,-0.00614397732981262,-0.0825791935364896,0.0309160035404868,-0.0892909079555728,-0.0515442898994907,-0.0530754975251181,-0.0819611959666573,-0.0834503557675117,-0.0199537690359186,-0.0351819980463366,-0.0580865667963226,0.0782901223971143,-0.0768471858172997,0.216843355085666,-0.0279678249761717,-0.0168603302623444,0.0380777482249954,-0.129638696675554,-0.106864574062158,0.0377822715932379,-0.0183507529942987,-0.0170483110835097,-0.0240720777730642
"36",-0.333881723238939,0.376242928223657,0.404405735288426,0.40453573817276,0.344161968981314,0.291531619441843,0.301620539463448,0.373852534755814,0.458631049255314,0.321303728120765,0.464116911011213,0.397251350200749,0.323972926310179,0.4637650771682,0.322802318676903,0.140458050760362,0.256920219057073,0.35749776652301,0.243106157985248,0.306666145067672,0.369131455318339,0.413725540175518,0.346438754593212,0.380455694587535,0.35376368208836
