,cPC1
ATP8B2,1.2019498575615217
ATP9A,3.82689550944077
ATP9B,0.9044496031035562
ATRNL1,11.740589564501358
ATXN2,3.537958114891272
ATXN7L2,-1.3484297130422658
ATXN7L3,8.033654097709409
ATXN7L3B,7.929244459561753
AUNIP,3.277009118372865
AURKAIP1,4.6066480466854385
AUTS2,-7.963131838114589
AVIL,-7.665604091782299
AXL,-5.415037149586417
AZIN1,2.841186635836545
AZIN1-AS1,-4.587792136236309
B3GALNT1,-0.6213802435255454
B3GALT2,6.862304946759677
B3GALT5-AS1,-9.779396375079108
B3GALT6,-2.1288497262610373
B3GAT1,4.459849889220958
B3GAT2,-8.084853941120564
B3GLCT,-0.8920156771259526
B3GNT2,-3.0405930374689643
B3GNT4,1.5554741541700903
B3GNT5,-7.246796628560967
B3GNT9,2.222485747879486
B4GALNT1,2.9092404600041024
B4GALT2,2.3188819152648423
B4GALT3,4.991695424863008
B4GALT5,4.41334216964931
B9D1,-0.001218518443528316
BABAM1,8.093790703316513
BABAM2,2.1806126977639693
BACE1,0.47229809251709687
BACE2,-0.8533313531683885
BAD,6.039045078472119
BAG1,-3.6731162336030256
BAG3,-10.303607190676429
BAG6,5.30440163229748
BAIAP2,-1.7814701660005
BAIAP2L2,11.345407830728284
BAIAP3,1.3689159901568675
BANP,5.744623505937754
BAP1,5.523161649023664
BARD1,1.4599518596765173
BASP1,9.159546391125897
BASP1-AS1,7.607234810425311
BATF3,0.6190524629869446
BAZ1A,-5.468195738961993
BBC3,9.100244740902106
BBS7,0.017600736904420256
BBS9,-6.810073795684919
BCAN,-4.320702192818151
BCAR3,-3.9229394151839054
BCAS2,4.589298663611477
BCAS3,8.234281152309721
BCCIP,-7.540446606845268
BCHE,-9.243604289030216
BCKDHA,4.758466640490306
BCKDK,1.7101653203071134
BCL11A,7.49687692394362
BCL2,-2.866793767127449
BCL2L2,8.501326913990797
BCL7A,4.769431987867463
BCL7C,-4.9236798806658415
BCL9,-0.5264402198582678
BCLAF1,3.735471293356381
BCLAF3,-6.172271502484225
BCOR,1.384051569124782
BCR,-0.8371769742720246
BCRP2,-1.3423936815413413
BDH1,7.162184555683662
BDH2,-4.532566606253209
BDKRB2,0.5073680416633618
BDNF,2.0493543574857305
BDNF-AS,-5.242910436404054
BEAN1,7.4336271291480145
BECN1,8.007242782740146
BEGAIN,2.7983358709283634
BEND7,-2.9622216126491945
BEST1,-5.776339042167766
BEX1,4.989364552484497
BEX2,6.0820012148019424
BEX3,3.592076014327147
BEX5,7.545112518343155
BFSP1,-0.06312183887532173
BHLHE22,2.959793329814199
BHLHE40,3.7151834985134187
BHMT2,-7.529632459997675
BICC1,6.375326140307532
BICD2,3.617674876947748
BICDL1,5.1269649126706875
BICDL2,9.848326614967405
BID,8.932667518015034
BIRC3,-4.5102512481561705
BLM,1.7508211860440133
BLMH,5.3405983033599504
BLNK,-8.526699647582648
BLOC1S2,3.433301824909019
BMP2K,-9.530006182532562
BMP7,-6.0609927173554645
BMP8B,2.2794841673025177
BMPR1B,-6.310156497485911
BMS1P14,7.563504200467578
BMS1P20,7.61586433555897
BNIP2,-9.564455418048711
BNIP3,2.8338413840481365
BOLA3-AS1,3.054281855750377
BORCS7,2.282313633447149
BPHL,-3.2836612420238502
BRAP,-4.417614784050943
BRCC3,6.997466902989684
BRD2,-5.2631653388759965
BRD8,7.141053355032151
BRF2,4.240085451100689
BRI3,-5.165932522583824
BRINP2,6.6963548962837605
BRINP3,4.123798681264769
BRK1,8.264479246455835
BRMS1,-5.8239579414084135
BRMS1L,4.199084081702378
BROX,-9.802677955011033
BRPF3,6.091800712519653
BRSK1,3.500450444461368
BRSK2,4.839676841812863
BRWD1,3.2874549218600344
BSDC1,2.224172734365235
BSN,3.4044920702382337
BSPRY,-4.614400010952727
BTBD1,5.385608785947915
BTBD10,6.82518344868131
BTBD11,-0.32596538294102045
BTBD3,-2.446565278392409
