"voxel","diagnosis_beta"
184,0.43716859962778
185,0.50676261321884
186,0.535123819419969
187,0.481952047156422
188,0.321635386404145
189,0.316071745027146
190,0.526629841028864
191,0.678015086396521
192,0.737265807722124
193,0.678193440012624
194,0.538823886570264
195,0.406333937042959
196,0.341465100548206
197,0.336956658731978
198,0.348227329307268
199,0.333665331483185
200,0.261598220420196
201,0.107119284528034
202,0.228881176523417
203,0.47668907481848
204,0.669581013185648
205,0.763372568219106
206,0.725192514996298
207,0.587613884546184
208,0.429705621672741
209,0.306533428747682
210,0.217435428117081
211,0.0616615318245333
212,0.346288807940725
213,0.583503765259666
214,0.724139581098949
215,0.729177773940948
216,0.615997265179012
217,0.444687881339696
218,0.262469591765385
219,0.405265461374167
220,0.58171682909376
221,-0.14644919638182
222,-0.197896629175275
223,-0.230871804143253
224,-0.0156508614589884
225,0.160841014054157
226,0.287761389119491
227,0.346148904145206
228,0.333648319940096
229,0.264413742789582
230,0.151491159529893
231,0.00108047845836567
232,-0.175762361549871
233,-0.356121658047769
234,-0.516038866414247
235,-0.329034875330569
236,0.0303158932493146
237,0.28841035092668
238,0.460281569176405
239,0.573131660707622
240,0.635410874323402
241,0.648250237207317
242,0.622641751099295
243,0.569664882754488
244,0.483754918102864
245,0.350310236296952
246,0.17088429199081
247,-0.0282139982126487
248,-0.214789624643574
249,-0.374023395195696
250,-0.845054533762018
251,-0.356309632441237
252,0.110810577494331
253,0.458314732396212
254,0.652878904903156
255,0.729237877531359
256,0.741548531338796
257,0.728849204309153
258,0.717434348778784
259,0.722847724933246
260,0.735915423061947
261,0.719577380537563
262,0.634853684412189
263,0.475327958713021
264,0.272100417484333
265,0.0653288054005621
266,-0.124368555204262
267,-0.558042014428125
268,-0.0316350640463809
269,0.427993508106648
270,0.718856840764864
271,0.81925352076371
272,0.786245378868865
273,0.703878737321508
274,0.644702933934028
275,0.654713404274476
276,0.73697159522972
277,0.845660877794111
278,0.910626703390064
279,0.879543295563079
280,0.746984838058057
281,0.546736041800768
282,0.318673975330672
283,0.0852105567461109
284,-0.810758923811037
285,-0.306376142830892
286,0.207431656453839
287,0.618186557792004
288,0.835945281425406
289,0.852604075696642
290,0.739167313291136
291,0.600445992931787
292,0.535342646841097
293,0.59909351209772
294,0.769149379401238
295,0.958699761027539
296,1.07637428128479
297,1.07557896677769
298,0.96134408682529
299,0.763916856508458
300,0.510743688856507
301,0.220746809801873
302,-0.573017496226854
303,-0.0676363213465195
304,0.39819597248065
305,0.738961030723864
306,0.892532124366844
307,0.861192580435108
308,0.712937353254438
309,0.555997784172023
310,0.504093542088737
311,0.615536657080276
312,0.843121343579392
313,1.06899798598304
314,1.19520644357017
315,1.19181068951974
316,1.07654063605448
317,0.87176735005997
318,0.587811404703261
319,0.239134918635652
320,-0.329952972610986
321,0.166377558222205
322,0.572031153049344
323,0.843655770485971
324,0.954937760687936
325,0.910833284620806
326,0.759415112053498
327,0.597492028054838
328,0.545674313330133
329,0.667584366515738
330,0.905785133771488
331,1.12900053744184
332,1.23930871426324
333,1.21697695052747
334,1.08445074079349
335,0.856870091839984
336,0.53484473934001
337,0.13400714230761
338,-0.128807709475369
339,0.359262376252384
340,0.715492598479163
341,0.939358395850846
342,1.03468987930524
343,0.99882641049218
344,0.852004422022314
345,0.676058931368241
346,0.596753847027761
347,0.687780270309895
348,0.897789649455678
349,1.09918168199398
350,1.19526460859536
