"voxel","diagnosis_beta"
361,-1.08819074755017
362,-0.944306140309824
363,-0.746589721542006
364,-0.624773050858133
365,-0.66040568555097
366,-0.815255491376631
367,-0.978461456935917
368,-1.06100587248729
369,-1.03047326132605
370,-0.885438548404456
371,-0.624954805447445
372,-0.249984236305863
373,0.0587941204935871
374,-0.420749167696139
375,-0.760125720729056
376,-0.994591991389804
377,-1.13530262136052
378,-1.14798737625197
379,-1.0174397944895
380,-0.812694651279714
381,-0.658994354559734
382,-0.634138681922942
383,-0.710699824845159
384,-0.804259417901761
385,-0.848407983447007
386,-0.81364595071178
387,-0.685193765662632
388,-0.44641063070932
389,-0.0897845149821407
390,0.188576323469452
391,-0.283779244419167
392,-0.644499057602377
393,-0.919177584460081
394,-1.10631370110112
395,-1.16452218913235
396,-1.07601224526523
397,-0.900044709935351
398,-0.74038716440411
399,-0.65781270335431
400,-0.633864423029112
401,-0.618663326067184
402,-0.582756840247747
403,-0.514881725200199
404,-0.396147655716709
405,-0.194540753467217
406,0.354372232357898
407,-0.101618914525252
408,-0.476320912592977
409,-0.781971008326136
410,-1.01115974511861
411,-1.12711316405004
412,-1.10983954988034
413,-0.99381750480411
414,-0.84520256198633
415,-0.704065632947697
416,-0.567021917049133
417,-0.423932237871103
418,-0.28424181999212
419,-0.158441065319849
420,-0.0311648764907221
421,0.136107434316121
422,0.494608970566369
423,0.0686591046205171
424,-0.293555718093155
425,-0.59890620066135
426,-0.846897219800298
427,-1.01234537438246
428,-1.06734445329083
429,-1.01088726508766
430,-0.869433554119852
431,-0.670809172821575
432,-0.434355597697848
433,-0.18631320596433
434,0.589204144197908
435,0.204421849362391
436,-0.11694680794615
437,-0.385226847361698
438,-0.614427933158568
439,-0.79197028024886
440,-0.881735615902386
441,-0.854511766410976
442,-0.711057263462455
443,-0.475869606391615
444,0.0613152361422729
445,-0.147624047111158
446,-0.322827979567621
447,-0.463531669740005
448,-0.537021062862861
449,-0.509145155506257
450,0.277450533019522
451,0.317785320863347
452,-0.19828243661619
453,-0.318375667480459
454,-0.338356458117531
455,-0.269508449362836
456,-0.144083565071033
457,0.00544306505839082
458,0.681116936896155
459,0.305515612504615
460,-0.0178576110144697
461,-0.297407140366463
462,-0.540394581556333
463,-0.725503375205084
464,-0.821380895096363
465,-0.815982028462296
466,-0.722368153066991
467,-0.566651466900776
468,-0.377698976834808
469,-0.184779640298701
470,-0.0147042199253585
471,0.116267171370953
472,0.209833441011924
473,0.707078924437766
474,0.234425258432313
475,-0.170926677853162
476,-0.479251630689503
477,-0.713542585530989
478,-0.894716186602604
479,-1.01616747892001
480,-1.06646639258413
481,-1.04822042919858
482,-0.969275524988373
