ADAMTSL4,,,,,,,,,,,,,,,,,,
ADAMTSL5,,,,,,,,,,,,,,,,,,
ADAP1,,,,,,,,,,,,,,,,,,
ADAP2,,,,,,,,,,,,,,,,,,
ADAR,,,,,,,,,,,,,,,,,,
ADARB1,,,,,,,,,,,,,,,,,,
ADCK1,,,,,,,,,,,,,,,,,,
ADCK2,,,,,,,,,,,,,,,,,,
ADCY1,,,,,,,,,,,,,,,,,,
ADCY10,,,,,,,,,,,,,,,,,,
ADCY2,,,,,,,,,,,,,,,,,,
ADCY3,,,,,,,,,,,,,,,,,,
ADCY4,,,,,,,,,,,,,,,,,,
ADCY5,,,,,,,,,,,,,,,,,,
ADCY6,,,,,,,,,,,,,,,,,,
ADCY7,,,,,,,,,,,,,,,,,,
ADCY9,,,,,,,,,,,,,,,,,,
ADCYAP1,,,,,,,,,,,,,,,,,,
ADCYAP1R1,,,,,,,,,,,,,,,,,,
ADD1,,,,,,,,,,,,,,,,,,
ADD2,,,,,,,,,,,,,,,,,,
ADD3,,,,,,,,,,,,,,,,,,
ADGRA2,,,,,,,,,,,,,,,,,,
ADGRB1,,,,,,,,,,,,,,,,,,
ADGRB2,,,,,,,,,,,,,,,,,,
ADGRB3,,,,,,,,,,,,,,,,,,
ADGRD1,,,,,,,,,,,,,,,,,,
ADGRE2,,,,,,,,,,,,,,,,,,
ADGRF5,,,,,,,,,,,,,,,,,,
ADGRG1,,,,,,,,,,,,,,,,,,
ADGRG2,,,,,,,,,,,,,,,,,,
ADGRG3,,,,,,,,,,,,,,,,,,
ADGRG6,,,,,,,,,,,,,,,,,,
ADGRL3,,,,,,,,,,,,,,,,,,
ADGRV1,,,,,VLGR1,,,,,,,,,,,,,
ADH1A,,,,,,,,,,,,,,,,,,
ADH1B,,,,,,,,,,,,,,,,,,
ADH1C,,,,,,,,,,,,,,,,,,
ADH4,,,,,,,,,,,,,,,,,,
ADH5,,,,,,,,,,,,,,,,,,
ADH6,,,,,,,,,,,,,,,,,,
ADH7,,,,,,,,,,,,,,,,,,
ADHFE1,,,,,,,,,,,,,,,,,,
ADI1,,,,,,,,,,,,,,,,,,
ADIPOQ,,,,,,,,,,,,,,,,,,
ADIPOR1,,,,,,,,,,,,,,,,,,
ADIPOR2,,,,,,,,,,,,,,,,,,
ADIRF,,,,,,,,,,,,,,,,,,
ADISSP,,,,,,,,,,,,,,,,,,
ADK,,,,,,,,,,,,,,,,,,
ADM,,,,,,,,,,,,,,,,,,
ADM2,,,,,,,,,,,,,,,,,,
ADNP,,,,,,,,,,,,,,,,,,
ADO,,,,,,,,,,,,,,,,,,
ADORA1,,,,,,,,,,,,,,,,,,
ADORA2A,,,,,,,,,,,,,,,,,,
ADPGK,,,,,,,,,,,,,,,,,,
ADPRH,,,,,,,,,,,,,,,,,,
ADPRS,,,,,,,,,,,,,,,,,,
ADRA1A,,,,,,,,,,,,,,,,,,
ADRA1B,,,,,,,,,,,,,,,,,,
ADRA2A,,,,,,,,,,,,,,,,,,
ADRA2B,,,,,,,,,,,,,,,,,,
ADRA2C,,,,,,,,,,,,,,,,,,
ADRB1,,,,,,,,,,,,,,,,,,
ADRB2,,,,,,,,,,,,,,,,,,
ADRB3,,,,,,,,,,,,,,,,,,
ADRM1,,,,,,,,,,,,,,,,,,
ADSL,,,,,,,,,,,,,,,,,,
ADSS1,,,,,,,,,,,,,,,,,,
ADSS2,,,,,,,,,,,,,,,,,,
ADTRP,,,,,,,,,,,,,,,,,,
AEBP1,,,,,,,,,,,,,,,,,,
AEBP2,,,,,,,,,,,,,,,,,,
AEN,,,,,,,,,,,,,,,,,,
AFAP1,,,,,,,,,,,,,,,,,,
AFAP1L2,,,,,,,,,,,,,,,,,,
AFDN,,,,,,,,,,,,,,,,,,
AFF1,,,,,,,,,,,,,,,,,,
AFF2,,,,,,,,,,,,,,,,,,
AFF3,,,,,,,,,,,,,,,,,,
AFF4,,,,,,,,,,,,,,,,,,
AFG1L,,,,,,,,,,,,,,,,,,
AFG2A,,,,,,,,,,,,,,,,,,
AFG2B,,,,,,,,,,,,,,,,,,
AFG3L2,,,,,,,,,,,,,,,,,,
AFM,,,,,,,,,,,,,,,,,,
AFTPH,,,,,,,,,,,,,,,,,,
AGA,,,,,,,,,,,,,,,,,,
AGAP1,,,,,,,,,,,,,,,,,,
AGAP2,,,,,,,,,,,,,,,,,,
AGBL2,,,,,,,,,,,,,,,,,,
AGBL3,,,,,,,,,,,,,,,,,,
AGBL4,,,,,,,,,,,,,,,,,,
AGBL5,,,,,,,,,,,,,,,,,,
AGER,,,,,,,,,,,,,,,,,,
AGFG1,,,,,,,,,,,,,,,,,,
AGGF1,,,,,,,,,,,,,,,,,,
AGK,,,,,,,,,,,,,,,,,,
AGL,,,,,,,,,,,,,,,,,,
AGMAT,,,,,,,,,,,,,,,,,,
AGMO,,,,,,,,,,,,,,,,,,
AGO1,,,,,,,,,,,,,,,,,,
AGO2,,,,,,,,,,,,,,,,,,
AGO3,,,,,,,,,,,,,,,,,,
AGO4,,,,,,,,,,,,,,,,,,
AGPAT1,,,,,,,,,,,,,,,,,,
AGPAT2,,,,,,,,,,,,,,,,,,
AGPAT3,,,,,,,,,,,,,,,,,,
AGPAT5,,,,,,,,,,,,,,,,,,
AGPS,,,,,,,,,,,,,,,,,,
AGR2,,,,,,,,,,,,,,,,,,
AGR3,,,,,,,,,,,,,,,,,,
AGRN,,,,,,,,,,,,,,,,,,
AGRP,,,,,,,,,,,,,,,,,,
AGT,,,,,,,,,,,,,,,,,,
AGTPBP1,,,,,,,,,,,,,,,,,,
AGTR1,,,,,,,,,,,,,,,,,,
AGTR2,,,,,,,,,,,,,,,,,,
AGTRAP,,,,,,,,,,,,,,,,,,
AGXT,,,,,,,,,,,,,,,,,,
AGXT2,,,,,,,,,,,,,,,,,,
AHCTF1,,,,,,,,,,,,,,,,,,
AHCY,,,,,,,,,,,,,,,,,,
AHCYL1,,,,,,,,,,,,,,,,,,
AHDC1,,,,,,,,,,,,,,,,,,
AHI1,,,,,,,,,,,,,,,,,,
AHNAK,,,,,,,,,,,,,,,,,,
AHNAK2,,,,,,,,,,,,,,,,,,
AHR,,,,,,,,,,,,,,,,,,
AHSA1,,,,,,,,,,,,,,,,,,
AHSG,,,,,,,,,,,,,,,,,,
AICDA,,,,,,,,,,,,,,,,,,
AIDA,,,,,,,,,,,,,,,,,,
AIF1,,,,,,,,,,,,,,,,,,
AIF1L,,,,,,,,,,,,,,,,,,
AIFM1,,,,,,,,,,,,,,,,,,
AIFM2,,,,,,,,,,,,,,,,,,
AIFM3,,,,,,,,,,,,,,,,,,
AIG1,,,,,,,,,,,,,,,,,,
AIM2,,,,,,,,,,,,,,,,,,
AIMP1,,,,,,,,,,,,,,,,,,
AIMP2,,,,,,,,,,,,,,,,,,
AIP,,,,,,,,,,,,,,,,,,
AIPL1,,,,,,,,,,,,,,,,,,
AIRE,,,,,,,,,,,,,,,,,,
AIRIM,,,,,,,,,,,,,,,,,,
AJAP1,,,,,,,,,,,,,,,,,,
AJUBA,,,,,,,,,,,,,,,,,,
AK1,,,,,,,,,,,,,,,,,,
AK3,,,,,,,,,,,,,,,,,,
AK4,,,,,,,,,,,,,,,,,,
AK4P3,,,,,,,,,,,,,,,,,,
AK5,,,,,,,,,,,,,,,,,,
AK6,,,,,,,,,,,,,,,,,,
AK7,,,,,,,,,,,,,,,,,,
AK8,,,,,,,,,,,,,,,,,,
AK9,,,,,,,,,,,,,,,,,,
AKAIN1,,,,,,,,,,,,,,,,,,
AKAP1,,,,,,,,,,,,,,,,,,
AKAP10,,,,,,,,,,,,,,,,,,
AKAP11,,,,,,,,,,,,,,,,,,
AKAP12,,,,,,,,,,,,,,,,,,
AKAP13,,,,,,,,,,,,,,,,,,
AKAP14,,,,,,,,,,,,,,,,,,
AKAP17A,,,,,,,,,,,,,,,,,,
AKAP3,,,,,,,,,,,,,,,,,,
AKAP4,,,,,,,,,,,,,,,,,,
AKAP5,,,,,,,,,,,,,,,,,,
AKAP6,,,,,,,,,,,,,,,,,,
AKAP7,,,,,,,,,,,,,,,,,,
AKAP8,,,,,,,,,,,,,,,,,,
AKAP8L,,,,,,,,,,,,,,,,,,
AKAP9,,,,,,,,,,,,,,,,,,
AKIP1,,,,,,,,,,,,,,,,,,
AKIRIN1,,,,,,,,,,,,,,,,,,
AKIRIN2,,,,,,,,,,,,,,,,,,
AKNA,,,,,,,,,,,,,,,,,,
AKR1A1,,,,,,,,,,,,,,,,,,
AKR1B1,,,,,,,,,,,,,,,,,,
AKR1B10,,,,,,,,,,,,,,,,,,
AKR1C1,,,,,,,,,,,,,,,,,,
AKR1C2,,,,,,,,,,,,,,,,,,
AKR1C3,,,,,,,,,,,,,,,,,,
AKR1C4,,,,,,,,,,,,,,,,,,
AKR1D1,,,,,,,,,,,,,,,,,,
AKR1E2,,,,,,,,,,,,,,,,,,
AKR7A2,,,,,,,,,,,,,,,,,,
AKR7A3,,,,,,,,,,,,,,,,,,
AKT1,,,,,,,,,,,,,,,,,,
AKT1S1,,,,,,,,,,,,,,,,,,
AKT2,,,,,,,,,,,,,,,,,,
AKT3,,,,,,,,,,,,,,,,,,
AKTIP,,,,,,,,,,,,,,,,,,
ALAD,,,,,,,,,,,,,,,,,,
ALAS1,,,,,,,,,,,,,,,,,,
ALAS2,,,,,,,,,,,,,,,,,,
ALB,,,,,PRO2044,PRO2619,PRO2675,UNQ696/PRO1341,,,,,,,,,,
ALCAM,,,,,,,,,,,,,,,,,,
ALDH18A1,,,,,,,,,,,,,,,,,,
ALDH1A1,,,,,,,,,,,,,,,,,,
ALDH1A2,,,,,,,,,,,,,,,,,,
ALDH1A3,,,,,,,,,,,,,,,,,,
ALDH1B1,,,,,,,,,,,,,,,,,,
ALDH1L1,,,,,,,,,,,,,,,,,,
ALDH1L2,,,,,,,,,,,,,,,,,,
ALDH2,,,,,,,,,,,,,,,,,,
ALDH3A1,,,,,,,,,,,,,,,,,,
ALDH3A2,,,,,,,,,,,,,,,,,,
ALDH3B1,,,,,,,,,,,,,,,,,,
ALDH4A1,,,,,,,,,,,,,,,,,,
ALDH5A1,,,,,,,,,,,,,,,,,,
