UniProtKB:Q4KMG9	TMEM52B	C12orf59|UNQ5927/PRO19821
UniProtKB:Q4KMG0	CDON	CDO
UniProtKB:Q8IW00	VSTM4	C10orf72
UniProtKB:Q9UQ05	KCNH4	
UniProtKB:A8MUN3	A8MUN3	
UniProtKB:Q5SZK8	FREM2	
UniProtKB:A8MUM7	LGALS16	
UniProtKB:Q92542	NCSTN	KIAA0253|UNQ1874/PRO4317
UniProtKB:Q8IW19	APLF	C2orf13|PALF|XIP1
UniProtKB:Q8IVQ6	ZDHHC21	
UniProtKB:Q7L622	G2E3	KIAA1333
UniProtKB:Q8TC71	SPATA18	MIEAP
UniProtKB:A8MUK1	USP17L5	
UniProtKB:P31785	IL2RG	
UniProtKB:Q07912	TNK2	ACK1
UniProtKB:Q9UK85	DKKL1	SGY1|UNQ735/PRO1429
UniProtKB:A0A1B0GWB2	PRRT1B	IFITMD8
UniProtKB:Q96HJ5	MS4A3	CD20L|HTM4
UniProtKB:Q6ZNR0	TMEM91	
UniProtKB:Q2L4Q9	PRSS53	
UniProtKB:Q5T0B9	ZNF362	PP6997
UniProtKB:P45452	MMP13	
UniProtKB:Q9H1U9	SLC25A51	MCART1
UniProtKB:Q5T0D9	TPRG1L	FAM79A|MOVER
UniProtKB:A0A0J9YXY3	TRBV6-2	
UniProtKB:P08887	IL6R	
UniProtKB:A0A0J9YY99	A0A0J9YY99	
UniProtKB:A0A0J9YXX1	IGHV5-10-1	
UniProtKB:O60503	ADCY9	KIAA0520
UniProtKB:Q9BPU6	DPYSL5	CRMP5|ULIP6
UniProtKB:O60507	TPST1	
UniProtKB:Q5T0F9	CC2D1B	KIAA1836|LGD1
UniProtKB:P08865	RPSA	LAMBR|LAMR1
UniProtKB:O60512	B4GALT3	
UniProtKB:P08861	CELA3B	ELA3B
UniProtKB:O60519	CREBL2	
UniProtKB:O60522	TDRD6	
UniProtKB:O60524	NEMF	SDCCAG1
UniProtKB:Q9BPW9	DHRS9	RDH15|SDR9C4|UNQ835/PRO1773
UniProtKB:O43825	B3GALT2	
UniProtKB:P08842	STS	ARSC1
UniProtKB:Q9BPX5	ARPC5L	
UniProtKB:Q9BPX6	MICU1	CALC|CBARA1
UniProtKB:Q9H293	IL25	IL17E|UNQ3120/PRO10272
UniProtKB:A0A0J9YY54	TEX13D	
UniProtKB:P08833	IGFBP1	IBP1
UniProtKB:O60543	CIDEA	
UniProtKB:O60565	GREM1	CKTSF1B1|DAND2|DRM|PIG2
UniProtKB:O60568	PLOD3	
UniProtKB:Q1RMZ1	SAMTOR	BMT2|C7orf60
UniProtKB:Q67FW5	B3GNTL1	B3GNT8|QTGAL
UniProtKB:P29622	SERPINA4	KST|PI4
UniProtKB:A0A0J9YXM7	TRBJ1-5	
UniProtKB:Q5T124	UBXN11	SOC|UBXD5|PP2243
UniProtKB:B3EWG3	FAM25A	
UniProtKB:Q07890	SOS2	
UniProtKB:P22914	CRYGS	CRYG8
UniProtKB:B3EWF7	EPM2A	
UniProtKB:Q07889	SOS1	
UniProtKB:A6XGL0	YJEFN3	AIBP2
UniProtKB:A0AAG2TCD0	OTOA	
UniProtKB:Q07869	PPARA	NR1C1|PPAR
UniProtKB:Q07866	KLC1	KLC|KNS2
UniProtKB:Q07864	POLE	POLE1
UniProtKB:P35125	USP6	HRP1|TRE2
UniProtKB:P22304	IDS	SIDS
UniProtKB:A0A0J9YXG5	TRBJ1-4	
UniProtKB:Q9BQG1	SYT3	
UniProtKB:Q07837	SLC3A1	NBAT
UniProtKB:Q9BQI3	EIF2AK1	HRI|KIAA1369|PRO1362
UniProtKB:Q07820	MCL1	BCL2L3
UniProtKB:Q07817	BCL2L1	BCL2L|BCLX
UniProtKB:Q07812	BAX	BCL2L4
UniProtKB:Q17R89	ARHGAP44	KIAA0672|RICH2
UniProtKB:Q0P670	SPEM2	C17orf74
UniProtKB:A0A0J9YXA8	TRBJ1-1	
UniProtKB:Q6ZP01	RBM44	
UniProtKB:Q9UKI9	POU2F3	OTF11|PLA1
UniProtKB:P45381	ASPA	ACY2|ASP
UniProtKB:P45379	TNNT2	
UniProtKB:P45378	TNNT3	
UniProtKB:Q53TS8	C2CD6	ALS2CR11|CATSPERT
UniProtKB:P12724	RNASE3	ECP|RNS3
UniProtKB:A8K2U0	A2ML1	CPAMD9
UniProtKB:Q4VCS5	AMOT	KIAA1071
UniProtKB:Q9BR39	JPH2	JP2
UniProtKB:Q53TQ3	INO80D	
UniProtKB:Q9BQS7	HEPH	KIAA0698|UNQ2562/PRO6242
UniProtKB:A0A0J9YWX3	TRBJ1-6	
UniProtKB:P08779	KRT16	KRT16A
UniProtKB:O60603	TLR2	TIL4
UniProtKB:O60609	GFRA3	UNQ339/PRO538/PRO3664
UniProtKB:Q53TN4	CYBRD1	DCYTB|FRRS3
UniProtKB:Q1AE95	TMEM183BP	C1orf37-dup|TMEM183B
UniProtKB:O60610	DIAPH1	DIAP1
UniProtKB:O60613	SELENOF	SEP15
UniProtKB:A0A0J9YX75	TRBV6-9	
UniProtKB:P08758	ANXA5	ANX5|ENX2|PP4
UniProtKB:Q01449	MYL7	MYL2A|MYLC2A
UniProtKB:P08754	GNAI3	
UniProtKB:A0A0J9YWU9	A0A0J9YWU9	
UniProtKB:Q01459	CTBS	CTB
UniProtKB:Q4KWH8	PLCH1	KIAA1069|PLCL3
UniProtKB:P42857	NSG1	D4S234|NEEP21
UniProtKB:O60636	TSPAN2	
UniProtKB:A0A0J9YX57	MAGEB6B	
UniProtKB:Q17RG1	KCTD19	
UniProtKB:P08729	KRT7	SCL
UniProtKB:P08727	KRT19	
UniProtKB:A0A0J9YX35	IGHV3-64D	
UniProtKB:P08709	F7	
UniProtKB:P08708	RPS17	RPS17L
UniProtKB:O60671	RAD1	REC1
UniProtKB:P08700	IL3	
UniProtKB:A0A0J9YWP8	TRBJ1-3	
UniProtKB:O60683	PEX10	RNF69
UniProtKB:O60684	KPNA6	IPOA7
UniProtKB:A0A0J9YX06	TRBJ1-2	
UniProtKB:Q5VXJ0	LIPK	LIPL2
UniProtKB:P35080	PFN2	
UniProtKB:Q60I27	ALS2CL	
UniProtKB:P35070	BTC	
UniProtKB:A0A0J9YWL9	TEX13C	
UniProtKB:Q5T230	UTF1	
UniProtKB:P35052	GPC1	
UniProtKB:P27918	CFP	PFC
UniProtKB:P35030	PRSS3	PRSS4|TRY3|TRY4
UniProtKB:Q5GH73	XKR6	C8orf21|C8orf5|C8orf7|XRG6
UniProtKB:Q5T1V6	DDX59	ZNHIT5
UniProtKB:Q9UL63	MKLN1	
UniProtKB:P00739	HPR	
UniProtKB:Q5T280	SPOUT1	C9orf114
UniProtKB:Q6S9Z5	ZNF474	
UniProtKB:P27930	IL1R2	IL1RB
UniProtKB:Q53SZ7	PRR30	C2orf53
UniProtKB:Q9BRK4	LZTS2	KIAA1813|LAPSER1
UniProtKB:Q53T94	TAF1B	
UniProtKB:B8ZZ34	SHISA8	C22orf17
UniProtKB:D6R9N7	USP17L18	
UniProtKB:Q53T59	HS1BP3	
UniProtKB:P59826	BPIFB3	C20orf185|LPLUNC3
UniProtKB:Q9BS16	CENPK	ICEN37|FKSG14
UniProtKB:Q9BS18	ANAPC13	
UniProtKB:Q9UKZ1	CNOT11	C2orf29|C40
UniProtKB:Q9BRQ6	CHCHD6	CHCM1|MIC25
UniProtKB:Q6T4P5	PLPPR3	LPPR3|PHP2|PRG2
UniProtKB:Q4VC44	FLYWCH1	KIAA1552
UniProtKB:Q9BRR3	PGAP4	C9orf125|TMEM246
UniProtKB:Q9BS34	ZNF670	
UniProtKB:Q9BRR6	ADPGK	PSEC0260
UniProtKB:Q9H361	PABPC3	PABP3|PABPL3
UniProtKB:Q9P2Z0	THAP10	
UniProtKB:Q9H2U2	PPA2	HSPC124
UniProtKB:A0A075B7F1	IGHV3OR16-8	
UniProtKB:A0A075B7F0	IGHV3OR16-10	
UniProtKB:Q4VC39	HIGD2B	HIGD2BP
UniProtKB:P08697	SERPINF2	AAP|PLI
UniProtKB:Q4VC31	MIX23	CCDC58
UniProtKB:Q6PF15	KLHL35	
UniProtKB:Q9P2Y4	ZNF219	
UniProtKB:A0A075B7E8	IGHV3OR16-13	
UniProtKB:A0A0J9YVY3	IGHV7-4-1	
UniProtKB:P08686	CYP21A2	CYP21|CYP21B
UniProtKB:P08684	CYP3A4	CYP3A3
UniProtKB:Q9P2X8	LINC00474	C9orf27
UniProtKB:Q9P2X7	DELEC1	CTS9|DEC1
UniProtKB:Q9P2X3	IMPACT	
UniProtKB:Q9P2X0	DPM3	
UniProtKB:A0A075B7D8	IGHV3OR15-7	
UniProtKB:A0A075B7D4	IGKV1OR2-108	
UniProtKB:G3V0H7	SLCO1B7	LST3|LST3TM12
UniProtKB:A0A075B7D0	IGHV1OR15-1	
UniProtKB:Q3LI54	KRTAP19-8	KAP19.8
UniProtKB:Q4VC12	MSS51	ZMYND17
UniProtKB:P08670	VIM	
UniProtKB:Q9P2W9	STX18	GIG9
UniProtKB:Q9P2W7	B3GAT1	GLCATP
UniProtKB:Q9P2W6	C11orf21	
UniProtKB:Q9P2W3	GNG13	
UniProtKB:Q9P2W1	PSMC3IP	HOP2|TBPIP
UniProtKB:Q4VC05	BCL7A	
UniProtKB:O60716	CTNND1	KIAA0384
UniProtKB:Q9P2V4	LRIT1	LRRC21|PAL
UniProtKB:A0A075B7B8	IGHV3OR16-12	
UniProtKB:A0A075B7B6	IGHV4OR15-8	
UniProtKB:P01920	HLA-DQB1	HLA-DQB
UniProtKB:P08651	NFIC	NFI
UniProtKB:O60725	ICMT	PCCMT
UniProtKB:Q9P2U8	SLC17A6	DNPI|VGLUT2
UniProtKB:Q9P2U7	SLC17A7	BNPI|VGLUT1
UniProtKB:A0A0J9YW62	A0A0J9YW62	
UniProtKB:P08648	ITGA5	FNRA
UniProtKB:Q9BS92	NIPSNAP3B	NIPSNAP3
UniProtKB:O60739	EIF1B	
UniProtKB:Q9P2T1	GMPR2	
UniProtKB:Q9P2T0	SPMAP2	THEG
UniProtKB:P01909	HLA-DQA1	
UniProtKB:P01906	HLA-DQA2	HLA-DXA
UniProtKB:P01903	HLA-DRA	HLA-DRA1
UniProtKB:P08637	FCGR3A	CD16A|FCG3|FCGR3|IGFR3
UniProtKB:O60741	HCN1	BCNG1
UniProtKB:P08631	HCK	
UniProtKB:Q9P2S6	ANKMY1	TSAL1|ZMYND13
UniProtKB:Q9P2S5	WRAP73	WDR8
UniProtKB:Q9P2S2	NRXN2	KIAA0921
UniProtKB:P08621	SNRNP70	RNPU1Z|RPU1|SNRP70|U1AP1
UniProtKB:A0A1W2PQ09	TAF11L11	
UniProtKB:Q14055	COL9A2	
UniProtKB:Q14050	COL9A3	
UniProtKB:Q5I0X7	TTC32	
UniProtKB:Q5I0X4	PEX39	C6orf226
UniProtKB:Q14032	BAAT	
UniProtKB:Q14031	COL4A6	
UniProtKB:A0A1W2PPL8	TAF11L14	
UniProtKB:Q14028	CNGB1	CNCG2|CNCG3L|CNCG4|RCNC2
UniProtKB:Q14019	COTL1	CLP
UniProtKB:Q14012	CAMK1	
UniProtKB:Q14011	CIRBP	A18HNRNP|CIRP
UniProtKB:Q5EB52	MEST	PEG1
UniProtKB:A0AAG2TG10	NPIPB3	
UniProtKB:Q14008	CKAP5	KIAA0097
UniProtKB:Q14005	IL16	
UniProtKB:Q14004	CDK13	CDC2L|CDC2L5|CHED|KIAA1791
UniProtKB:Q14003	KCNC3	
UniProtKB:Q14002	CEACAM7	CGM2
UniProtKB:P25205	MCM3	
UniProtKB:Q63ZY6	NSUN5P2	NSUN5C|WBSCR20B|WBSCR20C
UniProtKB:Q63ZY3	KANK2	ANKRD25|KIAA1518|MXRA3|SIP
UniProtKB:O60242	ADGRB3	BAI3|KIAA0550
UniProtKB:O60243	HS6ST1	HS6ST
UniProtKB:O60248	SOX15	SOX12|SOX20|SOX26|SOX27
UniProtKB:A2CJ06	DYTN	
UniProtKB:A0A1W2PPH5	TAF11L13	
UniProtKB:O60259	KLK8	NRPN|PRSS19|TADG14|UNQ283/PRO322
UniProtKB:Q5VIY5	ZNF468	
UniProtKB:A0A1W2PPG7	GNG14	
UniProtKB:O60268	KIAA0513	
UniProtKB:A0A2R8YEV3	OR2A42	UniProtKB:A0A2R8YEV3|PTN007806309
UniProtKB:A0A1W2PPF3	DUXB	
UniProtKB:A0A1W2PPE2	TAF11L4	
UniProtKB:P35499	SCN4A	
UniProtKB:P35498	SCN1A	NAC1|SCN1
UniProtKB:O60291	MGRN1	KIAA0544|RNF156
UniProtKB:A0A1W2PPD8	KDM4F	
UniProtKB:Q6P0A1	FAM180B	
UniProtKB:P29320	EPHA3	ETK|ETK1|HEK|TYRO4
UniProtKB:P00505	GOT2	KYAT4
UniProtKB:P55957	BID	
UniProtKB:P35475	IDUA	
UniProtKB:P02144	MB	
UniProtKB:P35462	DRD3	
UniProtKB:Q5VIR6	VPS53	PP13624
UniProtKB:P35453	HOXD13	HOX4I
UniProtKB:P35452	HOXD12	HOX4H
UniProtKB:P22626	HNRNPA2B1	HNRPA2B1
UniProtKB:P35443	THBS4	TSP4
UniProtKB:P35442	THBS2	TSP2
UniProtKB:P55916	UCP3	SLC25A9
UniProtKB:P29375	KDM5A	JARID1A|RBBP2|RBP2
UniProtKB:P35414	APLNR	AGTRL1|APJ
UniProtKB:Q5I0G3	MDH1B	
UniProtKB:Q6P093	AADACL2	
UniProtKB:Q9UJ71	CD207	CLEC4K
UniProtKB:P22670	RFX1	
UniProtKB:Q6P087	RPUSD3	
UniProtKB:P49862	KLK7	PRSS6|SCCE
UniProtKB:P82279	CRB1	
UniProtKB:A0A1W2PP81	TAF11L5	
UniProtKB:Q6P050	FBXL22	
UniProtKB:P82251	SLC7A9	BAT1
UniProtKB:Q9H0R3	TMEM222	C1orf160
UniProtKB:Q6P047	C8orf74	
UniProtKB:Q63ZE4	SLC22A10	OAT5
UniProtKB:P25189	MPZ	
UniProtKB:Q96GM1	PLPPR2	LPPR2|PRG4
UniProtKB:Q6ECI4	ZNF470	CZF1
UniProtKB:Q01105	SET	
UniProtKB:Q9H0U9	TSPYL1	TSPYL
UniProtKB:P32456	GBP2	
UniProtKB:P86480	PRR20D	
UniProtKB:O60303	KATNIP	KIAA0556
UniProtKB:O60307	MAST3	KIAA0561
UniProtKB:O60313	OPA1	KIAA0567
UniProtKB:O60315	ZEB2	KIAA0569|SIP1|ZFHX1B|ZFX1B|HRIHFB2411
UniProtKB:P25116	F2R	CF2R|PAR1|TR
UniProtKB:Q96H12	MSANTD3	C9orf30|L8
UniProtKB:O60330	PCDHGA12	CDH21|FIB3|KIAA0588|UNQ371/PRO707
UniProtKB:O60331	PIP5K1C	KIAA0589
UniProtKB:Q9C093	SPEF2	KIAA1770|KPL2
UniProtKB:P25106	ACKR3	CMKOR1|CXCR7|GPR159|RDC1
UniProtKB:P25105	PTAFR	PAFR
UniProtKB:P25103	TACR1	NK1R|TAC1R
UniProtKB:P25101	EDNRA	ETA|ETRA
UniProtKB:P25100	ADRA1D	ADRA1A
UniProtKB:A8K5M9	C15orf62	
UniProtKB:O60347	TBC1D12	KIAA0608
UniProtKB:Q7LC44	ARC	KIAA0278
UniProtKB:O60356	NUPR1	COM1
UniProtKB:O60359	CACNG3	
UniProtKB:Q7LBR1	CHMP1B	C18orf2
UniProtKB:Q3L8U1	CHD9	KIAA0308|KISH2|PRIC320|AD-013|x0008
