"roi","correlation","Advan_inno","BrainGluSchi","Baltimore","Dallas","dallas","boston","chicago","COBRE","HCP","A","C","MultidimCog","speech","KUT","KTT","UTO","Study_neura","Transdiagnostic2","Transdiagnostic1","no_Advan_inno","no_BrainGluSchi","no_Baltimore","no_Dallas","no_dallas","no_boston","no_chicago","no_COBRE","no_HCP","no_A","no_C","no_MultidimCog","no_speech","no_KUT","no_KTT","no_UTO","no_Study_neura","no_Transdiagnostic2","no_Transdiagnostic1"
"12",1.02379039507219,0.153316175064728,1.03599933758544,1.2368039738488,-0.0350647462340364,0.987291056377976,-0.405250442276484,-0.214919623614329,0.88966756877453,0.491788372874791,1.19007735143778,-0.143701761072768,0.579322004456955,1.67857169961613,1.43332481831843,0.716786560989461,0.811019779337913,0.557070645632099,0.0286975451613064,0.648910577405926,1.0695775805761,1.0134724948608,0.997323565467604,1.06058155534064,1.00306781253674,1.12110457890172,1.07897756740658,1.01948438825101,1.01442371418707,0.986440517229243,1.08776749445049,1.01183375070076,0.972917413637042,0.927970870486391,1.01909150549308,1.01840310572145,1.02155013015667,1.02092947833048,0.973324210901129
"13",-0.175209889043927,-0.0465895478202707,-0.427165221916921,-0.571172882806313,0.0934855423724716,-1.20264746736545,0.225496215191242,-0.621842125039502,-0.614569239336517,-0.520321133168142,0.412499322558999,-0.0499960982897213,-1.38000369251335,0.0992047130598905,0.565961958810097,-0.282035793351009,0.51532321971768,-0.277945054906433,0.521133837301773,0.715768273582435,-0.182730354709351,-0.158918474733208,-0.141473478697855,-0.179246278760117,-0.107333815901772,-0.202283257332849,-0.142978001514157,-0.139143323978704,-0.161300206064423,-0.203695430130057,-0.184169607185968,-0.0290473016142348,-0.199225131532586,-0.270845820215539,-0.174875385645618,-0.24211833007998,-0.170179640082748,-0.205880460106695,-0.230065583744435
"14",-0.705881524167607,-0.149419345411827,-0.155031441337684,-0.84810602719121,0.543989533291094,-0.0352675011193291,-0.437933032221809,-0.538147520242764,-0.611660799450144,-0.733596100508933,-0.0250984669825926,-1.56288984334183,-1.71494685103341,-0.564318333218449,-0.627267189131794,-0.79254775006932,-0.440995827778483,-0.255139639354209,0.377262591258523,0.98740045235468,-0.750617867957857,-0.721706828636567,-0.69468989968566,-0.75102267143939,-0.734922787103489,-0.699804871094939,-0.714346318649753,-0.693819914382764,-0.690085058739348,-0.719598781249217,-0.646167230197007,-0.535958199444087,-0.712278172860498,-0.701816557180085,-0.680271538369742,-0.704360860407429,-0.711259509074833,-0.730255225294512,-0.784226390585957
"15",-1.04570804565808,-0.602986581367458,-0.958186794776859,-0.969663058552057,-0.856925856817516,-0.890168425901108,-0.809294032181315,-0.579816446659994,-0.650140726288887,-0.726000700078297,-0.178783241447506,-0.322879132006702,-1.86052003782026,-0.187392174879669,-0.743310516972012,-1.00539498601827,-0.461258960057351,0.451716615139556,-0.29680056418552,0.127461371878851,-1.06725628004612,-1.03404430810599,-1.03917698873168,-1.03333139267473,-1.0389810187968,-1.03692769714193,-1.06172619502358,-1.05250368466851,-1.03316994855709,-1.06403507947185,-1.06664376518494,-0.897616972505277,-1.07919056173733,-1.06033209239254,-0.991355373887673,-1.0775916416116,-1.11315908614758,-1.03620606350926,-1.04491028455228
"16",0.581278039208268,0.197700189383121,-0.129172881078178,0.758942942324843,-0.429609685530922,0.203997042201472,2.70538792154423,-0.122293399887286,0.0225148479217702,0.20487368244147,0.987800326434036,0.547977254759441,0.39567305247511,-0.233102066303643,0.384642998131075,1.06306907201263,1.0569977611181,-0.902848404255211,-0.327176357520155,-0.602888593309266,0.608995049438634,0.637850901400311,0.51749664875836,0.610377724515713,0.595785942074745,0.369277429199078,0.621838200247492,0.617536496340955,0.603975477051602,0.550866920062529,0.577562109971153,0.525493471572806,0.612289508880658,0.627053520850916,0.525973091123822,0.530487131562126,0.660376421640952,0.587973249542716,0.634111968434808
"17",0.31488373918734,-0.75970554418676,0.623454101445598,-0.173701651146729,0.871365121994997,-0.662306523040184,1.18151606087056,0.193842289491534,-0.0543050476049985,-0.156797690193547,0.337798241473789,-1.07452175912094,-0.454654893876516,0.212461991054438,0.806153494263933,-0.453911658478161,0.576469608308639,1.58417920907455,0.386164230660828,0.749093299788984,0.399647293513972,0.268569549580122,0.353003535578232,0.29772549226846,0.368469476856187,0.251114452765862,0.33189057478269,0.333783081232015,0.378057461977046,0.30067570974434,0.382402669952791,0.395732289696298,0.316046357998358,0.181728239158228,0.381754327936564,0.254010802645338,0.231367492237663,0.282204122318898,0.270589833765384
"18",-0.356173295387548,0.241101139564428,-0.808289926518403,-0.319339064377926,0.2256642826198,0.443162259981803,-0.636932314685645,-0.379137353592182,-0.65719368283716,-0.874927710022497,-0.433127262282504,-0.414920591536721,-0.494756654833446,-0.302892504292421,-0.627019366105409,-1.01770712849418,0.199560296442861,0.581257450554165,0.883375723115585,0.170198892077009,-0.400704763540799,-0.336581165219026,-0.357588722260317,-0.360444146734139,-0.418355751507074,-0.304146495862532,-0.35303579905667,-0.329208597429125,-0.300102858108386,-0.353151785596682,-0.354246533576743,-0.334318547460436,-0.350026348105398,-0.338541759542146,-0.324825879595124,-0.391092297907819,-0.41426780853766,-0.390709351138462,-0.341147671164413
"19",-0.198666592400274,-0.198413005095978,0.78457817542371,-0.52295168599037,0.27257466540271,-0.623389241704267,0.462373654348111,0.41565560837857,-0.65057456101316,-0.325683609761151,0.231670377099425,-1.35227939160777,-0.515110104154004,-0.660832780904303,-0.315199962941506,-0.845072003893612,0.306112328061383,1.30457071553094,-0.695142967843086,1.17805742042026,-0.191073640174243,-0.253545777644278,-0.173973413225092,-0.198123126175166,-0.181371662629735,-0.232575960284131,-0.236940540695256,-0.137538366066158,-0.150682954843805,-0.221754581413294,-0.128872161299924,-0.187039682838084,-0.168722391039957,-0.210151837443602,-0.123133060671637,-0.228238801455459,-0.287888327954753,-0.167924408441739,-0.274045119065168
"20",-1.04234366886792,0.107631659375657,-0.732349601959865,0.0693668872935216,-0.670835466796137,-0.496879145308457,-1.30120352803449,0.984887237440898,-0.890174608216607,0.126027606992582,-1.4402284482547,-0.122090404100971,-2.46533637263569,0.914731607232986,-0.678759628136152,-2.39092106373831,-1.58526572249399,0.564692795815712,-2.80062966103697,1.00725686682664,-1.15467351722921,-1.05706695940851,-1.10807719359357,-1.03248407983899,-1.07633800124975,-0.98198415996071,-1.14266974991907,-1.03221447890406,-1.19085075243792,-0.986696982579199,-1.08659378405772,-0.819145196388679,-1.1132886798455,-1.02737967589059,-0.863791572595954,-0.975723302568053,-1.11514939502913,-0.9195007337976,-1.07869575409067
"21",-0.924461567398214,0.943962457606854,-0.41734186956859,-0.22911479004696,-0.674729527072994,-0.131997598672856,-0.871881174645589,1.31866031085398,-0.549749402277502,-0.351867322589588,-1.64177852172759,-0.911509945929091,-2.15682334284516,-0.753649506221253,-1.03457735777596,-2.23863969203876,-1.48057047458058,0.807350601362302,-0.968379239365895,1.90688761089172,-1.07724556175736,-0.95914653777023,-0.9708153089198,-0.896607797430264,-0.965582673728748,-0.894208436230351,-1.04508631394629,-0.932110050099308,-0.934497451346812,-0.860337961196489,-0.912998648490355,-0.705821843283529,-0.919286950077118,-0.878104564583856,-0.749556214274548,-0.875865660188684,-1.00886840467178,-0.882199828268139,-1.04478077205785
