"roi","diagnosis_beta","Advan_inno","BrainGluSchi","Baltimore","Dallas","dallas","boston","chicago","COBRE","HCP","A","C","MultidimCog","speech","KUT","KTT","UTO","Study_neura","Transdiagnostic2","Transdiagnostic1","no_Advan_inno","no_BrainGluSchi","no_Baltimore","no_Dallas","no_dallas","no_boston","no_hartford","no_georgia","no_chicago","no_COBRE","no_HCP","no_A","no_C","no_MultidimCog","no_speech","no_SWA","no_HUH","no_HKH","no_COI","no_KUT","no_KTT","no_UTO","no_Study_neura","no_Transdiagnostic2","no_Transdiagnostic1"
"17",0.361267265907868,-0.759705544186758,0.623454101445605,-0.173701651146728,0.87136512199499,-0.66230652304017,1.18151606087057,0.193842289491534,-0.0543050476050154,-0.156797690193535,0.337798241473798,-1.07452175912094,-0.454654893876505,0.212461991054444,0.806153494263936,-0.453911658478152,0.57646960830864,1.58417920907454,0.386164230660831,0.749093299788991,0.44373675171561,0.31537613379632,0.401467364211115,0.344101819083978,0.417271846079823,0.297816395760761,0.360734222130921,0.362612734977105,0.383443193950557,0.379506750185289,0.421983048726054,0.338984701587483,0.425417624021074,0.444696040018925,0.360040169743511,0.347187185870894,0.356058675307069,0.356103704248467,0.35597215349228,0.246227329107243,0.431245657057722,0.321289994406457,0.281088774390916,0.326083910478628,0.3121983030096
"18",-0.348178943696529,0.241101139564427,-0.808289926518391,-0.319339064377917,0.225664282619791,0.443162259981812,-0.636932314685637,-0.379137353592181,-0.657193682837156,-0.874927710022475,-0.433127262282501,-0.41492059153673,-0.494756654833445,-0.302892504292407,-0.627019366105411,-1.01770712849417,0.199560296442858,0.581257450554152,0.883375723115581,0.170198892077017,-0.39465410934485,-0.328575141887098,-0.354499610350853,-0.356254238612357,-0.409711563346988,-0.301735286340028,-0.344280782414522,-0.33964958104681,-0.345807776993354,-0.320864670331738,-0.297092333254267,-0.347883513261484,-0.348247077516746,-0.322758106531716,-0.343136220775253,-0.355705490985767,-0.352184077229006,-0.354743083344527,-0.342100619865568,-0.322910735207181,-0.305503934877792,-0.379283566990084,-0.403814187205246,-0.383220827839977,-0.336166021581519
"19",-0.0878458258148736,-0.198413005095971,0.784578175423711,-0.522951685990364,0.272574665402694,-0.623389241704261,0.462373654348113,0.415655608378571,-0.65057456101317,-0.32568360976115,0.231670377099438,-1.35227939160778,-0.515110104153996,-0.660832780904297,-0.315199962941526,-0.845072003893611,0.306112328061382,1.30457071553092,-0.695142967843089,1.17805742042026,-0.0640978362716912,-0.126952676424673,-0.0586013338783738,-0.0853924573501719,-0.0645366469098234,-0.121924999078744,-0.0889457290916066,-0.0783694703893953,-0.117973929787001,-0.0295880149013402,-0.0324660768675536,-0.119085683428211,-0.0201376458863954,-0.0730286327104755,-0.0590973790150075,-0.111855756553623,-0.106621323367826,-0.0961212023820146,-0.112213882152516,-0.0925212094318033,-0.00823183513375183,-0.122963112871102,-0.175304105641199,-0.0686313262698478,-0.155199907035878
"20",-1.0346128316143,0.107631659375652,-0.732349601959857,0.0693668872935244,-0.670835466796148,-0.496879145308458,-1.30120352803448,0.98488723744089,-0.890174608216611,0.126027606992596,-1.44022844825469,-0.12209040410097,-2.46533637263568,0.914731607232985,-0.67875962813617,-2.39092106373831,-1.58526572249399,0.564692795815709,-2.80062966103698,1.00725686682664,-1.14031143822471,-1.04187681625093,-1.09603563593147,-1.02799607034059,-1.06850285684673,-0.974382484110419,-1.02497207691734,-1.03655619089118,-1.13239636564064,-1.02453817233695,-1.177209650128,-0.984574264491986,-1.07536009590912,-0.823522344046323,-1.07506218173497,-1.04090883664168,-1.02689340420637,-1.03829724937213,-1.05530030618629,-1.02566725739584,-0.865437811859712,-0.976269042970257,-1.10694673519712,-0.913640620973794,-1.07539081489471
"21",-0.881221769565024,0.943962457606862,-0.417341869568574,-0.229114790046949,-0.674729527073,-0.131997598672857,-0.871881174645579,1.31866031085398,-0.549749402277524,-0.351867322589574,-1.64177852172758,-0.911509945929089,-2.15682334284515,-0.753649506221245,-1.03457735777597,-2.23863969203875,-1.48057047458058,0.807350601362293,-0.968379239365889,1.90688761089172,-1.02714821045113,-0.910803904713121,-0.923249204976628,-0.851161369597411,-0.922176592563263,-0.851271781781618,-0.874604532704062,-0.881401423925143,-0.997227083506813,-0.884172122628505,-0.889794505459439,-0.823603377739748,-0.87200621407696,-0.666447310044998,-0.877799160826824,-0.894897767677554,-0.882244882062787,-0.900967221120929,-0.882608759286769,-0.834991555149645,-0.709125464308555,-0.809888893600379,-0.96476760746993,-0.842447024451921,-1.00520642467971
"22",0.31934570039819,-0.43644310641332,-0.190092348442371,0.11838430832399,0.664730757291641,0.197190271955584,0.378177493004584,-1.33575523669563,0.0398347289114672,0.129909677731691,0.314500587511131,-0.848544400751918,1.13588829959076,0.169528120793599,0.572357606300738,0.491667921176054,1.88754878440272,-0.250016674134383,1.80145713238107,0.691497804341975,0.364159638755743,0.364514277651286,0.363567397167228,0.309271264021291,0.322758809619299,0.30068057653858,0.309883621263448,0.304337310670443,0.388926545686683,0.33774799526296,0.360596532190868,0.320939785161025,0.384034505266402,0.238805017981761,0.312594849532609,0.351990198621019,0.311296648513286,0.321425598208604,0.316992782201686,0.286727956180941,0.354797332844172,0.198661358495664,0.337410169810586,0.251267708743775,0.275286991216865
"23",-0.292545780063502,0.314346130545263,-1.23056738718918,-0.18534716651007,-0.243267651236061,0.106499668509088,-0.954791417100967,-0.188419003202156,-0.0162600637027538,-1.34721148087498,0.405505077743056,-1.15639081661633,-0.696942596633948,-0.519853182317498,0.207210802420368,-0.118287713198232,0.116289956539161,0.448531053518806,0.772382383972538,1.13305529887429,-0.33211028505626,-0.238215627194606,-0.30966761546653,-0.278666150745878,-0.319979526289415,-0.250648369575761,-0.29311095309869,-0.285856341814973,-0.312486523326141,-0.305360913945588,-0.141458233933785,-0.327337525740743,-0.234990707388192,-0.219367935608899,-0.285817670798876,-0.281743913761052,-0.301123154599633,-0.29896788379153,-0.298983512935778,-0.346185966913863,-0.27351472832483,-0.316085709529763,-0.335503043610116,-0.321423684280355,-0.383531138165473
"24",0.338535326051306,0.0632320515093546,0.919561923693826,0.54367392726795,-0.423340433716589,0.610674040779275,0.896729986232478,0.742643119944691,0.721863370990523,0.0287820814271529,-1.23507427576326,-1.86621439795778,-0.694480783862501,0.231087621414878,0.268033833333685,0.0826539228492949,0.33511897988556,0.379684860534726,-0.0475018937868913,0.572401502380247,0.349290453486526,0.30254282925568,0.315473750984588,0.361142650212574,0.313404691785645,0.309381538010074,0.346910156243207,0.334583138805959,0.302307383262212,0.30626423061803,0.308523677853567,0.407131933618498,0.446073964627897,0.450632485811928,0.332231311294899,0.324003845258489,0.337689726317042,0.336500238313718,0.329311105766181,0.303354310276669,0.360142593083419,0.323648272768834,0.317921564706218,0.340666864380118,0.289116330048994
"25",0.666284842169122,0.513484983312415,1.20989691989068,0.323080787585732,-0.842204660224702,0.578744710310489,-0.020544505062549,0.406653965769993,0.984052629041827,1.11460720359138,0.402564211654985,0.114867279078085,1.25185553102355,0.534850692422608,0.595679341449294,0.210789661076516,-0.0722457455598433,0.446216220683734,0.232861488373299,0.068647729566449,0.66683444120641,0.628957070737245,0.703091657496442,0.708085295113198,0.653045260585184,0.712969318444846,0.66192701793255,0.671601429580214,0.673009670291526,0.625095571828278,0.601185324163326,0.665933817936591,0.68922916176054,0.572092596782156,0.662999760198822,0.662671274403176,0.672369233995634,0.664895653188656,0.665975802269242,0.672638749405972,0.705657981970045,0.719702116029617,0.666407903678544,0.654213171813635,0.654534133097874
"26",1.11295418386518,1.25418214341513,0.960840586151478,1.07631444475498,-0.769456113579251,1.20562165931736,0.145317323821663,0.157045165605103,-0.0440987970487772,0.603258521079199,1.10117314442403,0.130150998310841,1.68053457433161,1.70096345885153,1.25265377837688,1.42508112933493,0.299942723478405,1.43167116087207,1.18058768098571,-0.123153608871813,1.079412873957,1.10769547879476,1.12219729112248,1.16582082708099,1.09532429895047,1.16418450629063,1.11825228025373,1.09231678392938,1.1359652726683,1.18899143504312,1.14574832173185,1.09004620100445,1.16227285478935,1.02627768200519,1.07075898965517,1.11896203254703,1.12289930125919,1.12521343478805,1.08953058544716,1.06889749205926,1.06044290454723,1.17838998478173,1.04861317368075,1.07367765392081,1.12979855401876
